time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2025/2/28,9.6,-2.1,19.1,0,,77,6,,1014.3,
2025/3/1,9.7,2.1,19.1,0,,78,7.8,,1013.9,
2025/3/2,2.7,-1.9,15.6,0.8,,103,7.5,,1024.7,
2025/3/3,5,-3.2,9.2,0,,138,6.3,,1029.2,
2025/3/4,4.4,1.8,10.1,0,,184,9.8,,1023.5,
2025/3/5,6,-2.9,13.1,0,,44,6.1,,1027.1,
2025/3/6,7,-0.1,13.2,0,,352,8.7,,1032.8,
2025/3/7,4,0.1,13.2,0,,161,7.3,,1025.3,
2025/3/8,6.7,-1,15.1,0,,197,6.4,,1022.8,
2025/3/9,11.5,1.9,16.1,0,,151,11.3,,1023.1,
2025/3/10,10.1,4.1,16.4,0,,148,9.1,,1017.5,
2025/3/11,7.3,2.1,15.9,0,,23,6,,1014.6,
2025/3/12,11.9,-0.9,20.1,0,,293,11.8,,1017.5,
2025/3/13,11.3,4,19.7,0,,103,9.4,,1021.3,
2025/3/14,8.3,3.7,19,0,,124,8.1,,1030.1,
2025/3/15,0.9,-0.9,11.1,0.8,,120,10.4,,1032.6,
2025/3/16,3.1,-4.1,10.1,0,,332,10.9,,1027.8,
2025/3/17,5.1,-2.4,10.1,0,,349,20.1,,1020.4,
2025/3/18,6.8,-2.9,14.1,0,,276,8.3,,1025,
2025/3/19,13.2,-0.2,22.1,0,,284,8.9,,1021.6,
2025/3/20,19,1.1,25.1,0,,311,14.4,,1018.4,
2025/3/21,22,7.2,27.2,0,,274,17.4,,1015.4,
2025/3/22,23.5,11.2,29.2,0,,291,16.8,,1008.7,
2025/3/23,21.9,13.7,29.2,0,,274,13.5,,1004,
2025/3/24,15.3,7.3,26.4,0,,93,14.9,,1003.2,
2025/3/25,13.7,7.3,22.1,0,,358,17.4,,999.4,
2025/3/26,13.2,5.8,21.1,0,,43,11.4,,1002.2,
2025/3/27,9.7,7.6,18.4,0,,343,18.5,,1015.1,
2025/3/28,5,0.8,13.5,0,,338,15.6,,1023.6,
2025/3/29,4.5,0.8,11.6,0,,301,16.8,,1025.4,
2025/3/30,8.4,-3.9,15.4,0,,187,9.9,,1025.1,
2025/3/31,12.5,-1.9,20.1,0,,173,9.2,,1017.6,
2025/4/1,13.4,2.1,21.6,0,,298,16.8,,1014.1,
2025/4/2,12.5,3.1,22,0,,346,9.7,,1022.4,
2025/4/3,13.5,3.1,20.1,0,,168,11,,1017.2,
2025/4/4,15.4,8.6,23.1,0,,353,16.5,,1011.8,
2025/4/5,14.3,9.1,23.1,0,,273,18.2,,1013.3,
2025/4/6,15.2,3.1,23.1,0,,98,8.2,,1010.6,
2025/4/7,18.2,5.1,26.1,0,,9,8.7,,1011.6,
2025/4/8,17.3,8.5,25.9,0,,118,10.7,,1016.6,
2025/4/9,15.3,11.1,23.1,0,,232,7.4,,1009.6,
2025/4/10,19.5,9,27.1,0,,163,10.2,,1004.9,
2025/4/11,18,14.1,26.1,0,,131,15.1,,1000,
2025/4/12,9.7,7.1,26.1,0,,314,46.5,,1007.8,
2025/4/13,11.5,7.4,15.1,0,,320,41.5,,1004,
2025/4/14,16.7,10.1,26.1,0,,316,25.7,,1006,
2025/4/15,22.2,7.7,29.3,0,,207,9.4,,1002.8,
2025/4/16,18.9,16.3,31.6,0,,113,6.5,,996.9,
2025/4/17,22.5,12.8,22.8,0,,35,8.6,,1000.9,
2025/4/18,11.7,13.9,20.6,19.1,,46,10.4,,1011.8,
2025/4/19,16.3,10.3,19.7,0,,234,7.5,,1010.2,
2025/4/20,18.4,11.3,25.1,0,,164,8.5,,1010,
2025/4/21,13,13.6,25.1,2,,206,9,,1011.8,
2025/4/22,17.9,11.5,25.1,0,,276,11,,1011.4,
2025/4/23,18.4,8.1,28.1,0,,349,21.8,,1007.5,
2025/4/24,14.1,6.1,27.6,0,,341,17.7,,1015,
2025/4/25,16.3,6.3,24.1,0,,118,9.6,,1014.6,
2025/4/26,19.7,10.7,25.1,0,,52,7.9,,1010.4,
2025/4/27,16.4,11.1,24.6,0,,33,14.2,,1014.8,
2025/4/28,17,7.1,26.1,0,,118,11.5,,1013.1,
2025/4/29,19.5,9.2,29.1,0,,76,7.5,,1004.2,
2025/4/30,19.5,8.5,29.9,0,,7,13.5,,1002.8,
2025/5/1,19.2,8.5,27.4,0,,1,12.8,,1008.6,
2025/5/2,13.8,12.1,26,0,,16,13.6,,1010.3,
2025/5/3,19.4,6.1,24.1,0,,304,19.8,,1012.5,
2025/5/4,18.4,11.9,25.3,1.3,,41,9.5,,1010,
2025/5/5,14.4,12.1,25.3,1,,91,7.1,,1005.9,
2025/5/6,17.6,9.7,24.1,0,,55,9.9,,1010,
2025/5/7,19.2,12.6,25.1,0,,146,14,,1008.7,
2025/5/8,20.1,15.1,24.1,0,,128,9.3,,1007.8,
2025/5/9,12,12.1,25,39.1,,22,13.3,,1010.5,
2025/5/10,17.6,9.1,26.1,1.3,,320,11.5,,1009.3,
2025/5/11,20.9,9.1,29.1,0,,121,7.1,,1001.1,
2025/5/12,23.1,14.9,28.6,0,,88,7.5,,998.3,
2025/5/13,23.7,17.1,32.4,1,,99,9,,1000.4,
2025/5/14,20.5,14.8,32.4,5.6,,49,13,,1010.5,
2025/5/15,21.9,16.1,28.1,0,,171,14,,1011.7,
2025/5/16,22.7,14.1,28.1,0,,129,10.8,,1002.9,
2025/5/17,16.8,13.1,28.4,0,,331,26,,1010,
2025/5/18,18.2,10.5,24.8,0.5,,60,6,,1007.2,
2025/5/19,23.7,14.3,32.1,0,,109,7.2,,997.8,
2025/5/20,25.5,19.2,31.5,0,,99,9,,998.4,
2025/5/21,23.8,20.1,31.5,0,,110,9.1,,1008.3,
2025/5/22,16,12.9,29.3,7.6,,7,11.8,,1016.8,
2025/5/23,17.5,10.5,23.1,0.5,,339,9.7,,1016.1,
2025/5/24,22.5,10.5,29.4,0,,298,10.7,,1013.7,
